[1020/025010.040714:INFO:CONSOLE(314)] "每一个星球都有一个驱动核心，
每一种思想都有影响力的种子。
感受世界的温度，
年轻的你也能成为改变世界的动力，
百度珍惜你所有的潜力。
你的潜力，是改变世界的动力！

", source: https://pss.bdstatic.com/r/www/cache/static/protocol/https/global/js/all_async_search_8f3f605.js (314)
[1020/025010.040967:INFO:CONSOLE(314)] "%c百度2022校园招聘简历投递：https://talent.baidu.com/external/baidu/campus.html color:red", source: https://pss.bdstatic.com/r/www/cache/static/protocol/https/global/js/all_async_search_8f3f605.js (314)
[1020/025010.159451:INFO:CONSOLE(0)] "Failed to decode downloaded font: https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/font/iconfont-da69d9b438.woff2", source: https://www.baidu.com/ (0)
[1020/025010.159631:INFO:CONSOLE(0)] "OTS parsing error: invalid sfntVersion: 256", source: https://www.baidu.com/ (0)
[1020/025010.159729:INFO:CONSOLE(0)] "Failed to decode downloaded font: https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/font/iconfont-da69d9b438.woff2", source: https://www.baidu.com/ (0)
[1020/025010.159784:INFO:CONSOLE(0)] "OTS parsing error: invalid sfntVersion: 256", source: https://www.baidu.com/ (0)
[1020/025010.159902:INFO:CONSOLE(0)] "Failed to decode downloaded font: https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/font/iconfont-da69d9b438.woff2", source: https://www.baidu.com/ (0)
[1020/025010.159980:INFO:CONSOLE(0)] "OTS parsing error: invalid sfntVersion: 256", source: https://www.baidu.com/ (0)
[1020/025010.160021:INFO:CONSOLE(0)] "Failed to decode downloaded font: https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/font/iconfont-da69d9b438.woff2", source: https://www.baidu.com/ (0)
[1020/025010.160056:INFO:CONSOLE(0)] "OTS parsing error: invalid sfntVersion: 256", source: https://www.baidu.com/ (0)
[1020/025010.160099:INFO:CONSOLE(0)] "Failed to decode downloaded font: https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/font/iconfont-da69d9b438.woff2", source: https://www.baidu.com/ (0)
[1020/025010.160142:INFO:CONSOLE(0)] "OTS parsing error: invalid sfntVersion: 256", source: https://www.baidu.com/ (0)
[1020/025010.160194:INFO:CONSOLE(0)] "Failed to decode downloaded font: https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/font/iconfont-da69d9b438.woff2", source: https://www.baidu.com/ (0)
